date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:17:49	93858/93858	---M-Z	200	added ('OK')	text/html	etag:%22a6d3d1ad1cdf7dcfc7f8bc31ac43ce7b%22	https://kaed.io/	C:/Users/mkhal/OneDrive/Desktop/LARP/KAEDE.AI/kaed.io/index.html	(from )
10:17:50	788007/788007	---MC-	200	added ('OK')	image/png	etag:%222e330d6c8d3b099f09f334f46436fd7a%22	https://framerusercontent.com/images/okszmd9A2jDdcRirlWpZFfEEk.png	C:/Users/mkhal/OneDrive/Desktop/LARP/KAEDE.AI/framerusercontent.com/images/okszmd9A2jDdcRirlWpZFfEEk.png	(from https://kaed.io/)
10:17:50	518162/518162	---MC-	200	added ('OK')	image/png	etag:%22700ac0275b12449428caf0aa25030716%22	https://framerusercontent.com/images/A3MRndmdst81DbD0DnwH8SrbhHQ.png	C:/Users/mkhal/OneDrive/Desktop/LARP/KAEDE.AI/framerusercontent.com/images/A3MRndmdst81DbD0DnwH8SrbhHQ.png	(from https://kaed.io/)
10:17:50	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Dec%202024%2018:17:50%20GMT	https://fonts.gstatic.com/	C:/Users/mkhal/OneDrive/Desktop/LARP/KAEDE.AI/fonts.gstatic.com/index.html	(from https://kaed.io/)
10:17:51	630083/630083	---MCZ	200	added ('OK')	text/javascript	etag:W/%2282d77d93ce6b9a5bd27fad2dbc899cad%22	https://framerusercontent.com/sites/6cmGs0CCgqQ828edrpyFRa/chunk-C6P4DI3P.mjs	C:/Users/mkhal/OneDrive/Desktop/LARP/KAEDE.AI/framerusercontent.com/sites/6cmGs0CCgqQ828edrpyFRa/chunk-C6P4DI3P.mjs	(from https://kaed.io/)
10:17:51	1190/1190	---MCZ	200	added ('OK')	text/javascript	etag:W/%228dc2caa5dfa40c0964a44a081b0b17d9%22	https://framerusercontent.com/sites/6cmGs0CCgqQ828edrpyFRa/chunk-JR5VT52U.mjs	C:/Users/mkhal/OneDrive/Desktop/LARP/KAEDE.AI/framerusercontent.com/sites/6cmGs0CCgqQ828edrpyFRa/chunk-JR5VT52U.mjs	(from https://kaed.io/)
10:17:51	447/447	---M--	200	added ('OK')	text/javascript	etag:%2230ed32fa3444df726bb60d89113cf478%22	https://framerusercontent.com/sites/6cmGs0CCgqQ828edrpyFRa/chunk-RIUMFBNJ.mjs	C:/Users/mkhal/OneDrive/Desktop/LARP/KAEDE.AI/framerusercontent.com/sites/6cmGs0CCgqQ828edrpyFRa/chunk-RIUMFBNJ.mjs	(from https://kaed.io/)
10:17:52	118726/118726	---MCZ	200	added ('OK')	text/javascript	etag:W/%220973309f574f46ed06379726b531c9b8%22	https://framerusercontent.com/sites/6cmGs0CCgqQ828edrpyFRa/tSf2NB2ZuRrP1_Aksf31_pIAW3Gxvkrnlt6RELfPQ74.GNEUQYTM.mjs	C:/Users/mkhal/OneDrive/Desktop/LARP/KAEDE.AI/framerusercontent.com/sites/6cmGs0CCgqQ828edrpyFRa/tSf2NB2ZuRrP1_Aksf31_pIAW3Gxvkrnlt6RELfPQ74.GNEUQYTM.mjs	(from https://kaed.io/)
10:17:52	781/781	---M--	200	added ('OK')	text/javascript	etag:%229492e50611179c13b823eb30b78dea3d%22	https://framerusercontent.com/sites/6cmGs0CCgqQ828edrpyFRa/chunk-SHYTH5U7.mjs	C:/Users/mkhal/OneDrive/Desktop/LARP/KAEDE.AI/framerusercontent.com/sites/6cmGs0CCgqQ828edrpyFRa/chunk-SHYTH5U7.mjs	(from https://kaed.io/)
10:17:52	2500/2500	---MCZ	200	added ('OK')	text/javascript	etag:W/%225c2cb07b5571d7ee4744d820ba658b23%22	https://framerusercontent.com/sites/6cmGs0CCgqQ828edrpyFRa/script_main.4RJTMPLJ.mjs	C:/Users/mkhal/OneDrive/Desktop/LARP/KAEDE.AI/framerusercontent.com/sites/6cmGs0CCgqQ828edrpyFRa/script_main.4RJTMPLJ.mjs	(from https://kaed.io/)
10:17:52	1107193/1107193	---MC-	200	added ('OK')	image/gif	etag:%22adfc7e9da1a63403ada5e1f221a57544%22	https://framerusercontent.com/images/9jmAJIJKonbQoiZ1luzdD8SCPtk.gif	C:/Users/mkhal/OneDrive/Desktop/LARP/KAEDE.AI/framerusercontent.com/images/9jmAJIJKonbQoiZ1luzdD8SCPtk.gif	(from https://kaed.io/)
10:17:53	17046/17046	---MC-	200	added ('OK')	image/png	date:Tue,%2010%20Dec%202024%2006:43:25%20GMT	https://logo.clearbit.com/twitter.com?size=500	C:/Users/mkhal/OneDrive/Desktop/LARP/KAEDE.AI/logo.clearbit.com/twitter6bae.png	(from https://kaed.io/)
10:17:53	497369/497369	---MC-	200	added ('OK')	image/gif	etag:%229c14863b9e64ffc65cdfda4cdc9a0b99%22	https://framerusercontent.com/images/xNlbB5UHxUjtY8xUsXMJDJFRSA.gif	C:/Users/mkhal/OneDrive/Desktop/LARP/KAEDE.AI/framerusercontent.com/images/xNlbB5UHxUjtY8xUsXMJDJFRSA.gif	(from https://kaed.io/)
